City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,sinop,41.7711,34.8709,17.24,77,75,2.77,TR,1686233486
211,bhamo,24.2667,97.2333,26.02,91,99,0.8,MM,1686233995
212,floro,61.5996,5.0328,21.04,48,0,8.75,NO,1686233995
213,villa gesell,-37.2639,-56.973,16.14,93,100,4.57,AR,1686233995
214,huai'an,33.5886,119.0192,25.86,33,100,4.91,CN,1686233995
215,tulun,54.5611,100.5792,20.04,65,0,1.93,RU,1686233995
216,nuuk,64.1835,-51.7216,2.34,75,75,2.24,GL,1686233996
217,puerto baquerizo moreno,-0.9,-89.6,26.55,83,75,3.09,EC,1686233472
218,klyuchi,52.2667,79.1667,28.62,33,17,6.01,RU,1686233462
219,la mira,18.035,-102.3266,28.22,65,73,1.47,MX,1686233996
220,cesme,38.3228,26.3064,23.84,73,20,2.06,TR,1686233996
221,tari,12.4086,4.4914,37.38,33,100,4.48,NG,1686233996
222,kushiro,42.975,144.3747,11.87,98,100,1.34,JP,1686233996
223,saint-georges,12.0564,-61.7485,30.82,70,20,11.32,GD,1686233509
224,lubango,-14.9172,13.4925,24.6,24,13,0.88,AO,1686233996
225,harstad,68.799,16.5293,7.66,100,94,6.26,NO,1686233484
226,badger,64.8,-147.5333,15.07,74,75,1.54,US,1686233462
227,kailua-kona,19.6406,-155.9956,23.98,94,100,2.57,US,1686233470
228,kangding,30.0513,101.9603,10.37,89,100,1.0,CN,1686233502
229,puyang,29.4603,119.8861,22.92,97,97,1.08,CN,1686233997
230,palmer,42.1584,-72.3287,15.04,78,100,0.45,US,1686233289
231,lata,40.1629,-8.3327,25.83,52,62,6.04,PT,1686233518
232,wailua homesteads,22.0669,-159.378,23.44,90,75,4.12,US,1686233461
233,puerto leguizamo,-0.1934,-74.7819,26.07,83,54,0.92,CO,1686233997
234,korla,41.7597,86.1469,32.2,11,85,3.13,CN,1686233997
235,nemuro,43.3236,145.575,11.44,100,100,2.87,JP,1686233519
236,ocean city,39.2776,-74.5746,19.5,53,5,2.68,US,1686233997
237,tarawa,1.419,172.984,28.05,83,75,2.06,KI,1686233473
238,samana,19.2056,-69.3369,29.12,74,75,3.09,DO,1686233706
239,quang ngai,15.1167,108.8,27.0,85,100,2.02,VN,1686233997
240,shahr-e babak,30.1165,55.1186,27.79,21,59,3.93,IR,1686233998
241,thompson,55.7435,-97.8558,20.76,56,0,2.46,CA,1686233423
242,dakhla,23.6848,-15.958,26.01,61,28,5.66,EH,1686233493
243,hilo,19.7297,-155.09,22.93,84,0,2.57,US,1686233306
244,north bend,43.4065,-124.2243,13.48,100,100,0.0,US,1686233475
245,tayoltita,24.0833,-105.9333,23.61,31,9,0.67,MX,1686233998
246,mudgee,-32.5943,149.5871,6.46,92,0,1.02,AU,1686233998
247,kyzyl,51.7,94.45,23.01,46,77,0.92,RU,1686233975
248,el porvenir,13.7617,-87.3458,25.63,72,73,0.84,HN,1686233998
249,pimentel,-6.8367,-79.9342,26.16,69,40,5.66,PE,1686233999
250,guadalupe y calvo,26.1,-106.9667,14.38,25,76,1.31,MX,1686233999
251,bilajer,40.5681,50.0378,22.9,49,0,6.17,AZ,1686233999
252,laayoune,27.1622,-13.2032,27.19,54,93,4.63,EH,1686233999
253,happy valley-goose bay,53.3168,-60.3315,5.17,87,100,8.75,CA,1686233502
254,manjeshvar,12.7,74.8833,28.66,77,100,4.81,IN,1686233999
255,ankazoabo,-22.2833,44.5167,25.99,38,0,0.9,MG,1686233999
256,yuzhno-kurilsk,44.0306,145.8556,11.41,99,97,2.69,RU,1686233482
257,aasiaat,68.7098,-52.8699,-0.72,77,21,3.33,GL,1686233463
258,sambava,-14.2667,50.1667,25.21,75,0,4.33,MG,1686233475
259,bosobolo,4.1833,19.9,30.62,56,100,0.61,CD,1686233999
260,vila franca do campo,37.7167,-25.4333,19.23,75,50,5.13,PT,1686233507
261,avarua,-21.2078,-159.775,23.03,88,75,2.57,CK,1686233477
262,dakar,14.6937,-17.4441,31.49,80,6,6.53,SN,1686233700
263,tagta,41.6504,59.9164,22.97,64,0,8.23,TM,1686234000
